notification_date,age_group,confirmed_by_pcr,confirmed_cases_count
2020-03-20,AgeGroup_70+,N/A,10
2020-03-21,AgeGroup_0-19,N/A,2
2020-03-21,AgeGroup_20-24,N/A,10
2020-03-21,AgeGroup_25-29,N/A,16
2020-03-21,AgeGroup_30-34,N/A,13
2020-03-21,AgeGroup_35-39,N/A,6
2020-03-21,AgeGroup_40-44,N/A,10
2020-03-21,AgeGroup_45-49,N/A,10
2020-03-21,AgeGroup_50-54,N/A,9
2020-03-21,AgeGroup_55-59,N/A,10
2020-03-21,AgeGroup_60-64,N/A,15
2020-03-21,AgeGroup_65-69,N/A,6
2020-03-21,AgeGroup_70+,N/A,15
2020-03-22,AgeGroup_0-19,N/A,2
2020-03-22,AgeGroup_20-24,N/A,8
2020-03-22,AgeGroup_25-29,N/A,15
2020-03-22,AgeGroup_30-34,N/A,6
2020-03-22,AgeGroup_35-39,N/A,5
2020-03-22,AgeGroup_40-44,N/A,5
2020-03-22,AgeGroup_45-49,N/A,9
2020-03-22,AgeGroup_50-54,N/A,13
2020-03-22,AgeGroup_55-59,N/A,12
2020-03-22,AgeGroup_60-64,N/A,18
2020-03-22,AgeGroup_65-69,N/A,7
2020-03-22,AgeGroup_70+,N/A,21
2020-03-23,AgeGroup_0-19,N/A,5
2020-03-23,AgeGroup_20-24,N/A,12
2020-03-23,AgeGroup_25-29,N/A,17
2020-03-23,AgeGroup_30-34,N/A,13
2020-03-23,AgeGroup_35-39,N/A,9
2020-03-23,AgeGroup_40-44,N/A,4
2020-03-23,AgeGroup_45-49,N/A,6
2020-03-23,AgeGroup_50-54,N/A,13
2020-03-23,AgeGroup_55-59,N/A,13
2020-03-23,AgeGroup_60-64,N/A,13
2020-03-23,AgeGroup_65-69,N/A,22
2020-03-23,AgeGroup_70+,N/A,50
2020-03-24,AgeGroup_0-19,N/A,4
2020-03-24,AgeGroup_20-24,N/A,16
2020-03-24,AgeGroup_25-29,N/A,20
2020-03-24,AgeGroup_30-34,N/A,18
2020-03-24,AgeGroup_35-39,N/A,12
2020-03-24,AgeGroup_40-44,N/A,8
2020-03-24,AgeGroup_45-49,N/A,18
2020-03-24,AgeGroup_50-54,N/A,16
2020-03-24,AgeGroup_55-59,N/A,17
2020-03-24,AgeGroup_60-64,N/A,17
2020-03-24,AgeGroup_65-69,N/A,14
2020-03-24,AgeGroup_70+,N/A,32
2020-03-25,AgeGroup_0-19,N/A,2
2020-03-25,AgeGroup_20-24,N/A,21
2020-03-25,AgeGroup_25-29,N/A,33
2020-03-25,AgeGroup_30-34,N/A,10
2020-03-25,AgeGroup_35-39,N/A,14
2020-03-25,AgeGroup_40-44,N/A,11
2020-03-25,AgeGroup_45-49,N/A,18
2020-03-25,AgeGroup_50-54,N/A,12
2020-03-25,AgeGroup_55-59,N/A,13
2020-03-25,AgeGroup_60-64,N/A,14
2020-03-25,AgeGroup_65-69,N/A,19
2020-03-25,AgeGroup_70+,N/A,39
2020-03-26,AgeGroup_0-19,N/A,2
2020-03-26,AgeGroup_20-24,N/A,29
2020-03-26,AgeGroup_25-29,N/A,18
2020-03-26,AgeGroup_30-34,N/A,23
2020-03-26,AgeGroup_35-39,N/A,8
2020-03-26,AgeGroup_40-44,N/A,6
2020-03-26,AgeGroup_45-49,N/A,12
2020-03-26,AgeGroup_50-54,N/A,16
2020-03-26,AgeGroup_55-59,N/A,20
2020-03-26,AgeGroup_60-64,N/A,18
2020-03-26,AgeGroup_65-69,N/A,11
2020-03-26,AgeGroup_70+,N/A,22
2020-03-27,AgeGroup_0-19,N/A,16
2020-03-27,AgeGroup_20-24,N/A,23
2020-03-27,AgeGroup_25-29,N/A,23
2020-03-27,AgeGroup_30-34,N/A,21
2020-03-27,AgeGroup_35-39,N/A,12
2020-03-27,AgeGroup_40-44,N/A,4
2020-03-27,AgeGroup_45-49,N/A,14
2020-03-27,AgeGroup_50-54,N/A,13
2020-03-27,AgeGroup_55-59,N/A,11
2020-03-27,AgeGroup_60-64,N/A,20
2020-03-27,AgeGroup_65-69,N/A,16
2020-03-27,AgeGroup_70+,N/A,40
2020-03-28,AgeGroup_0-19,N/A,8
2020-03-28,AgeGroup_20-24,N/A,20
2020-03-28,AgeGroup_25-29,N/A,19
2020-03-28,AgeGroup_30-34,N/A,9
2020-03-28,AgeGroup_35-39,N/A,6
2020-03-28,AgeGroup_40-44,N/A,4
2020-03-28,AgeGroup_45-49,N/A,9
2020-03-28,AgeGroup_50-54,N/A,16
2020-03-28,AgeGroup_55-59,N/A,13
2020-03-28,AgeGroup_60-64,N/A,12
2020-03-28,AgeGroup_65-69,N/A,10
2020-03-28,AgeGroup_70+,N/A,17
2020-03-29,AgeGroup_0-19,N/A,5
2020-03-29,AgeGroup_20-24,N/A,15
2020-03-29,AgeGroup_25-29,N/A,15
2020-03-29,AgeGroup_30-34,N/A,11
2020-03-29,AgeGroup_35-39,N/A,10
2020-03-29,AgeGroup_40-44,N/A,9
2020-03-29,AgeGroup_45-49,N/A,5
2020-03-29,AgeGroup_50-54,N/A,14
2020-03-29,AgeGroup_55-59,N/A,7
2020-03-29,AgeGroup_60-64,N/A,11
2020-03-29,AgeGroup_65-69,N/A,6
2020-03-29,AgeGroup_70+,N/A,16
2020-03-30,AgeGroup_0-19,N/A,3
2020-03-30,AgeGroup_20-24,N/A,17
2020-03-30,AgeGroup_25-29,N/A,15
2020-03-30,AgeGroup_30-34,N/A,5
2020-03-30,AgeGroup_35-39,N/A,6
2020-03-30,AgeGroup_40-44,N/A,6
2020-03-30,AgeGroup_45-49,N/A,7
2020-03-30,AgeGroup_50-54,N/A,8
2020-03-30,AgeGroup_55-59,N/A,4
2020-03-30,AgeGroup_60-64,N/A,4
2020-03-30,AgeGroup_65-69,N/A,5
2020-03-30,AgeGroup_70+,N/A,10
2020-03-31,AgeGroup_0-19,N/A,7
2020-03-31,AgeGroup_20-24,N/A,15
2020-03-31,AgeGroup_25-29,N/A,19
2020-03-31,AgeGroup_30-34,N/A,12
2020-03-31,AgeGroup_35-39,N/A,6
2020-03-31,AgeGroup_40-44,N/A,6
2020-03-31,AgeGroup_45-49,N/A,11
2020-03-31,AgeGroup_50-54,N/A,9
2020-03-31,AgeGroup_55-59,N/A,11
2020-03-31,AgeGroup_60-64,N/A,11
2020-03-31,AgeGroup_65-69,N/A,4
2020-03-31,AgeGroup_70+,N/A,20
2020-04-01,AgeGroup_0-19,N/A,10
2020-04-01,AgeGroup_20-24,N/A,9
2020-04-01,AgeGroup_25-29,N/A,18
